author,comment,published_at
@user-wu1lm2cj5f,"Hats off man, this video gave me a boner dude its just amazing!",2023-11-17T21:40:22Z
@bunnydavid35,I completed the project and solved many errors which i created myself without knowing and happy i have learned the process,2023-11-09T15:57:16Z
@asifrehman4214,"Hi author...

its looking an interesting project but I am stuck at a very silly stage. I don't have any paid account to use ""S3 Bucket"". If you can help in this regard plz.",2023-11-08T18:16:11Z
@pranavmahajan4190,Hi Darshil. thanks for the wonderful tutorial. Can we do this in VS instead of Jupyter Notebook? One problem that I have been facing that Kafka producer and consumer stop responding after 10 to 20 mins of running the code. I faced this problem several times. Is there any solution?,2023-11-06T21:21:53Z
@Rene-zb4sp,I completed the entire project. Excited to learn more!,2023-11-06T04:25:29Z
@sembrueldorinvil4167,"I completed this entire project. Took me three days, lot of issues wuth the permissions to the pem file. But I'm really excited to learn more.
Thanks @DarshilParmar, really great job!",2023-11-05T12:02:02Z
@dhruvsingh9,One suggestion.. Instead of cloud.. Would you be able to make this project.. On prem.,2023-11-05T05:23:20Z
@raghav_sharma,thanks man,2023-11-04T17:16:59Z
@lidory98,"I'm on Windows and I do get this error, what can I do?",2023-11-04T12:06:51Z
@Itsdlu,"Hello,

Am I able to do this project without spending any money on AWS services?",2023-11-04T06:49:51Z
@hulkTeluguVlogs,Your efforts are appreciated. Good learning i got,2023-11-03T19:02:31Z
@sargentvladmirputisky,If I use a free tier aws account will it cost me or not?,2023-11-03T07:50:09Z
@sembrueldorinvil4167,@35:39 My code is stuck when running the for loop. Does anybody have that issue? How did you solve it?,2023-11-02T20:19:30Z
@shailendrapratapsingh4967,"Hii, I have already searched extensively on the internet so please don't ignore.
So after changing to external/public ip in server.properties file I am facing this error: INFO [Controller id=0, targetBrokerId=0] Disconnecting from node 0 due to socket connection setup timeout. The timeout value is 11715 ms. (org.apache.kafka.clients.NetworkClient)
I have tried almost everything available on internet. But that is not solving this issue.
I am using kafka 3.6.0",2023-10-31T10:06:25Z
@083_jayeshsaini2,@DarshilParmar are those  request are coming in the queue,2023-10-24T05:56:26Z
@vandanapurajesh260,I’m getting error when installing wget kafka,2023-10-23T01:02:06Z
@rocketqueen232,"subbed and liked, great video :)",2023-10-21T11:59:21Z
@sravan9253,You said real time and you are just reading it from a file 🤦,2023-10-21T01:43:55Z
@showmethemoney824,why didn't use MKS from AWS instead EC2,2023-10-17T21:56:09Z
@geekyinnovator3437,did u used jupyer notebooks managed on aws?,2023-10-16T18:04:42Z
@adeyinkaadegbenro9645,"I completed the entire project, thanks a lot",2023-10-16T15:02:26Z
@DEEKSHITH-bw6bo,"I was not able to store the data in s3 bucket even after configuring was.
Can anyone help me out 😢",2023-10-16T09:01:42Z
@emanuelribeiro6369,Very good introductory level video for data pipelines with aws services!!!,2023-10-16T01:06:39Z
@pepediaz1165,"my producer bugs on terminal. And if I try on cloudshell, I can't even produce a topic
is this a problem of my old computer?",2023-10-14T11:36:42Z
@SHAHISTHAPIRJADE,Nice explaination Darshil... Thanks for this video. But If we have a static dataset why are we using Kafka?,2023-10-12T17:58:58Z
@yovanipahuaraborda9994,"I'm just starting, but I can already see how amazing is this 👌👌",2023-10-11T02:55:55Z
@oblithetics_,"getting """" WARNING: UNPROTECTED PRIVATE KEY FILE!""""   Permission denied 
Help me with this",2023-10-09T13:18:59Z
@devppatel,"Hi Darshil, I am unable to create Glue Crawler as I'm using a free tier account. I've already tried creating roles with multiple level access, creating a lake formation of all the roles and IAM users, linked my EC2 instance with my demo roles. Still, couldn't figure out how to resolve the issue. It'd be great if you could help me with the same. Thanks!",2023-10-07T20:26:32Z
@ritik1857,s3 has the data perfectly. crawler succeeded. But athena query showing no output.,2023-10-07T09:21:11Z
@mohitupadhayay1439,"I completed this project. Thanks so much Darshil for making things simple and straight forward.

Super excited to see what you bring in next!


Kudos man!",2023-10-06T10:31:42Z
@mohitupadhayay1439,"At 27:49, tried creating the topic. Failed.
The cmd took some time before failing and then TimeoutException was thrown.
I googled and figured renaming --bootstrap to --zookeeper - FAILED.

Can anyone please help?
@darshilparmar",2023-10-06T06:53:08Z
@jerrytai5343,"installing java with ""sudo yum install java-1.8.0-openjdk"" doesn't work anymore. I got this ""Error: Unable to find a match: java-1.8.0-openjdk"" and I couldn't find answers anymore.",2023-10-04T09:10:30Z
@user-ps9mk3pi7o,Can you share updated link of apache kafka .,2023-10-03T22:38:04Z
@BeastIndia11,"At 19:11 the command ""sudo yum install java-1.8.0-openjdk"" is not working for me. 
I'm getting the below message:
No match for argument: java-1.8.0-openjdk
Error: Unable to find a match: java-1.8.0-openjdk
Please help me out!",2023-10-02T09:44:22Z
@miscoadre3250,"I'm Junior data engineer and I need do this project. Maybe you could do another more easy project with Kafka, without AWS",2023-09-30T22:54:16Z
@purvigoel5719,"i completed the entire project and i learned many things, thank u",2023-09-29T13:35:04Z
@amruthasaiprathipati2674,"@DarshilParmar One issue I face is the connection always getting lost  with no broker available errors in 20-30 mins. By the time we start all process (SSH,zoo,file edits, EC2 restart, kafka, consumer,jupyter)  and start playing around with python code in 15 mins even before starting to load csv file but just manually sending few lines of data, the system start giving errors. Debugged for several days and opened a case with AWS but no luck. If there is any solution then please share. Unsure if it is time out in ZK/Kafka or memory or EC2 suspend issues. Anyhelp appreciated!",2023-09-27T18:46:25Z
@mehdichbani7686,I finished the project!,2023-09-25T19:59:21Z
@veerababus4098,"I have successfully completed the project and am excited to take on more projects. I faced a couple of issues and resolved them one by one, ultimately completing the project successfully. Initially, I provisioned a t3.micro instance type, but it didn't work. So, I provisioned a t3.small instance, and with this configuration, I was able to complete the project successfully.",2023-09-24T19:25:09Z
@wooprime3482,"For anyone doing the project now, MAKE SURE that you select the same machine image ""Amazon Linux 2 AMI (HVM) .... SSD Volume Type"", instead of the default ""Amazon Linux 2023 AMI"". Kafka WILL get stuck when both producer and consumer are running, and you will pull your hair out trying to find out why this happens.",2023-09-22T10:40:17Z
@Himanshu-ny7rd,damn that was fun,2023-09-21T19:29:26Z
@SAGARKUMAR-nz8to,"I am stuck @27.29 , not able to create a topic .. if anyone has completed, please help.",2023-09-21T13:26:37Z
@oyindamolavictor9940,I just completed the project...cant wait to make extra modifications😁.... Awesome explanation!,2023-09-21T00:23:38Z
@moeintorabi2205,I completed the entire project and am excited to learn more! One change I applied is that I used Docker Compose to get a broker up & running and used python to interact with it from my local machine. Thanks for this project.,2023-09-20T13:13:25Z
@muhammadfaizanshaikh6603,"Very Nicely explained, Darshil.",2023-09-19T15:58:33Z
@tainguyenvan939,"NOTE: When edit inbound rules at 25:37, you config Source is ""Anywhere-IPv4"" instead of ""My IP"", so you can ping to Public IPv4 address of EC2 instances and can create topic.",2023-09-19T15:38:51Z
@dhaivatjambudia5562,kafka new topic not created  send an error that session timeout and client request connection close from node 0 in kafka server in ec2 what to do?,2023-09-17T06:45:34Z
@tanayrathod6531,I have completed it,2023-09-16T10:02:58Z
@tanayrathod6531,I have completed it,2023-09-16T10:02:37Z
@thabisosekhwela1321,I completed the project and I would like to see more,2023-09-13T13:21:48Z
@huzaifa_2590,"While Installing Java It Gives Some Error Like ""No match for argument: java-1.8.0-openjdk
Error: Unable to find a match: java-1.8.0-openjdk"".

I Used The Latest Version AS Well But its Not Working.",2023-09-08T14:11:54Z
@user-xw9vh2qf2z,"Darshil can you please make this project using GCP sevices? Like Dataflow,Bigquery",2023-08-31T14:22:17Z
@redhawasssim5111,GREAT VIDEO !!! NICE EXPLANATION AND LOVE THE VIBE YOU GIVE,2023-08-30T10:17:08Z
@munivoltarc,"Hi, can you do this on Indian stock markets like NSE ?? if so I would like to give a project contract ? if interested reply me.",2023-08-28T22:03:09Z
@user-rm3hh1lh6l,"Hey, got stuck after making changes in the config file. Zookeeper and kafka is not restarting. The error for zookeeper is this  ERROR Exiting JVM with code 1 (org.apache.zookeeper.util.ServiceUtils) and for kafka it is  INFO shutting down (kafka.server.KafkaServer) . Hoping for the creator to reply or  one's who has  resloved this error .",2023-08-28T15:17:55Z
@aaquibtayyabi,I am getting a timeout error when creating a new topic. Anybody know the solution to this ?,2023-08-27T12:05:22Z
@lhxperimental,"The end result you've shown can be achieved using just Python (or any other language) + Postgres. You should explain/justify reasons for choosing the architecture. Athena is not a general purpose query engine, it is expensive to run. So you need to explain why you have used it versus something else and then have a use case that's only possible / simple with this architecture vs something else.  Also what is the real time part? Every database will show saved data after it is inserted.",2023-08-27T06:16:59Z
@parthgandhi4122,"I COMPLETED THIS PROJECT. WONDERFUL EXPERIENCE FACED A LOT OF ERRORS CREATED MANY INSTRANCES, STATED SERVER AGAIN AND AGAIN FELT LIKE LEAVING THE PROJECT BUT FINALLY DID IT. LEARNT A LOT THANK TOU SIR",2023-08-22T12:47:53Z
@parthgandhi4122,@darshilParmar i have been trying to solve node 0 error but not able to do so please please help me once my server also worked but not able to do it again,2023-08-21T11:37:40Z
@cloudandsqlwithpython,really good work !!,2023-08-19T09:24:51Z
@mudassirraza7878,I have successfully completed this project.Thanks @DarshilParmar for creating video and i learn alot🥰🥰,2023-08-18T05:56:09Z
@kooromack,Thanks for your great work.,2023-08-18T05:28:56Z
@rohitpagar17,I completed entire project! Excited to learn more,2023-08-17T20:15:20Z
@user-hz6yx3dj6w,"I completed entire project!!!
excited to learn more!!!!!",2023-08-17T19:23:40Z
@snehitvaddi,"Awesome project! Quick question: If I want to add data daily, set up a producer, Kafka, and consumer to showcase results each day, how can I get this done?",2023-08-16T21:50:37Z
@dhwanilshah5680,Which api was used for stock market data?,2023-08-16T01:26:17Z
@pretomghosh6231,"My broker is automatically closing down and topic creation is exiting
please suggest",2023-08-15T03:40:07Z
@christopherozurumba6775,"Just completed the project, Thanks Darshil for your impact.",2023-08-13T21:45:26Z
@ahmedfarrag3992,Do i need to pay for aws??,2023-08-13T20:24:03Z
@minimalism-life,"For example, 1 Kafka system consists of 3 brokers (bro1, bro2, bro3) with bro1 being the leader and bro2 and bro3 being the replicate of bro1. If bro1 is broken, the system will choose bro2 or bro3 based on what",2023-08-10T03:54:34Z
@kumarabhijeet8968,"completed the entire project and I'm excited to learn more! I ran into few errors such as timeout error, 404 link not found for kafka version, jdk not found and multiple attempts on restarting the zookeeper and server again and again but succeeded at last. Really loved the content and enjoyed it and it was very useful in understanding. Thanks a lot for such an amazing content.

Next in the pipeline is ||YouTube Data Analysis|| and will be trying to complete and updating my learnings on the go over the discord channel as well. If anyone wishes to join and finish it together, do let me know. :)",2023-08-09T16:47:16Z
@shreyask804,God bless you!,2023-08-08T03:24:13Z
@saeed-khan-cs,Fantastic content!,2023-08-07T05:22:54Z
@duskbbd,Can you please share video on api To Kafka topic?,2023-08-04T18:46:12Z
@ShovonMallick41,"First of all, thank you so much for your effort to create such a helpful learning material. 

It’s been couple of months, I am trying to learn kafka. But found other tutorials too difficult as others are explaining it like its a rocket sceience. This is the best video to start kafka as a beginner. Thanks a lot. 

However I have a question, currently am working on a real project as a tableau developer. My data source is Athena and this project has almost same data pipeline. Now my problem is in athena table there are almost 20 columns but 2 of them are nested(every cell in those 2 columns contain long json object).  As a result I am unable to consume this 2 columns in Tableau. So do you have any solution that crawler can transform that nested columns before it stores in Athena table. 

I think problem is in producer, it is creating nested json file in the beginning , and crawler is producing table from that nested json file. As a result all attributes with no sub-attributes are in separated columns but attributes having another layer of attributes are getting nested in one column. I want sub-attributes of attributes in separate columns in Athena. I am not authorised to make any change on Kafka pipeline of my project but I have assesse of s3 and glue crawler.",2023-08-02T20:41:02Z
@jasoncysiu,31:19 Testing Kafka ended and execution starts,2023-08-02T12:03:16Z
@laxmandixit5951,I Completed the Entire Project and Excited to Learn More,2023-08-02T11:31:44Z
@ogechimaryann1082,Great teaching Darshil,2023-08-01T22:39:20Z
@HHHMED2009,"amazing video and amazing channel, keep up man!",2023-08-01T09:59:05Z
@pritishghatak3076,I have completed the entire project.,2023-08-01T09:51:37Z
@kousikdutta5889,"I completed this entire project, it was fun.. amazing bruh...",2023-07-31T19:24:41Z
@junaidmalik9593,m so impressed to have this content on YT. wish same was with Azure . m more of  MS guy :P,2023-07-31T07:59:31Z
@st0a,"Nice project, man. I completed it, now I'm planning to probably use Kafka to create a proof-of-concept Spotify clone, but with Spring Boot instead of Python/Flask/Django.",2023-07-30T13:05:25Z
@gyanaranjannayak3333,Super,2023-07-28T12:00:29Z
@vaishnaviboje,Can you please post same project on GCP ?,2023-07-28T10:05:43Z
@sharonkv5874,"why am i getting this error? ""Error: Unable to find a match: java-1.8.0-openjdk""",2023-07-26T16:09:36Z
@mubashirimtiaz3836,"Mind-Blowing! Clear, practical, and engaging. Your expertise and teaching skills are top-notch. Thanks for sharing your knowledge!",2023-07-22T16:05:30Z
@anonymus7802,I completed the entire project. Excited to learn more!,2023-07-19T13:41:29Z
@anonymus7802,"Amazing video, thank so much man for the great content, looking forward to more hands on project videos 🙌🏼💥",2023-07-19T11:49:09Z
@LuckyPanwar,Sir also prepare the another video on how we can use Kafka in docker to do this in ec2,2023-07-19T03:06:12Z
@debasishnandy7729,I completed this project and excited to learn more.I used Confluent Kafka for the streaming.A great learning experience.,2023-07-11T05:42:11Z
@pritishghatak3076,I have completed the entire project,2023-07-09T06:45:04Z
@sohailhosseini2266,Thanks for sharing!,2023-07-08T08:37:06Z
@Okmama902,I COMPLETED THE ENTIRE PROJECT AND I AM EXCITED TO LEARN MORE AND THANK YOU,2023-07-06T20:27:29Z
@shank_love,"Completed this end to end project, faced few errors due to update, but was finally able to do it , great work 😊",2023-06-28T12:48:07Z
