author,comment,published_at
@girishdepu4148,I COMPLETED ENTIRE PROJECT. EXCITED TO LEARN MORE!!!!! it was awesome:),2023-03-03T10:34:09Z
@KumarKumar-en5xq,"Please ensure your vedio recordings are good, I can’t see in mobile clearly",2023-03-02T03:49:18Z
@michaelshnaiderman,"@darshilparmar, briliant!
Clearly and simply explained.
Like your stuff...keep producing great tutorials!",2023-02-25T22:08:13Z
@ujjayinibose9993,"Hi, I am getting ""Client requested connection close from node 0"" error when trying to restart kafka server after changing the hostname to the EC2 public IP address. Could you please help with that? Thank you!",2023-02-24T03:25:08Z
@MRCyberstriker,Stuck on this error while creating topic: error while executing topic command timed out waiting for a node assignment. call createtopics. Kindly help,2023-02-24T00:06:03Z
@jersey1634,I came across many weird errors but still managed to finish the project. Thank you very much for this nice tutorial!,2023-02-23T10:51:07Z
@dntking40,You are amazing. Learned more from you in 1 hour than my 1 year of self-study.,2023-02-20T09:42:52Z
@mayanksingriya4796,"Bro Why you explaining the kafka technologies with the bookish definition its so frustating to pause and to understand the terms.
And you just looking on your screen to read those definitions out. 
Why don't you explain terms like partitioning, log files in the simple terms with the help of images and look in the camera While explaining it.

I am able point out these because I have already read about the kafka Architecture and all the terminologies used in it and do read from many youtubers.
If you really understands what things I am trying pointing out and get my message and not being egotistical to the things I have said in the comment, it will improve your content and views to make you even better youtuber. 
BTW Thank You for the Project Bro Keep up the good work And Grow your Channel.",2023-02-18T21:48:59Z
@nguyentiensu4088,It is easy to understand! Thank for sharing!,2023-02-18T11:19:10Z
@jhoanmartinezsilva2609,"Insane, so kafka is to avoid batch ETL?",2023-02-18T01:08:30Z
@piyush.sltn4,Great work! I just completed this project and honestly this is my first real-time data processing project and I got a good idea of the architecture and working. It's fun! Thank You!,2023-02-13T03:06:07Z
@dubai67003,Great video and completed it !,2023-02-12T12:06:55Z
@HariJanardhanVanka,I have completed the project,2023-02-09T08:20:20Z
@timo9692,"Would have loved if you had done the complete simulation in aws, without single use of local system.",2023-02-08T19:51:17Z
@timo9692,Best Project... Keep it up.,2023-02-08T19:25:38Z
@BrianPondiGeoGeek,Great content.,2023-02-03T12:53:03Z
@rishabhkaushik2468,I have completed the entire project and I am excited to learn more :),2023-02-02T17:59:59Z
@smrutiranjannayak9449,keep uploading bhaiya.thanks,2023-01-27T15:08:10Z
@anupkumartarkase3044,This has been one of the most well explained end to end pipeline project. This teaches us how the pipeline works from end to end. I had completed this after facing lot of errors. Great experience and boosted the confidence as well. Thanks for such an amazing content. Waiting for more to come <3,2023-01-23T18:41:32Z
@almassheraz9412,Great work Darshil!,2023-01-21T06:19:14Z
@mahmoodhossainfarsim6292,Have never been understood and enjoyed real time pipeline before this. Excellent work man. Thank you,2023-01-15T16:09:25Z
@harshaldeore,Hands-on was very informative but the initial Explanation could have been improved,2023-01-15T09:07:22Z
@javidanmammadov4317,"Thanks a lot @DarshilParmar, i follow the steps and fixing the errors  by investigating the issues.
However, i would like to ask you one problem which i am currently experiencing...
I have updated server configuration file by adding the public IP address as you did. After starting zookeeper and kafka server, i try to create kafka topic by using the public IP address(public ip:9092).But not able to create it. Something is strange. I am using Google Cloud VM.
When i comment out advertising listener in server config file, everything is working file.
And I don't know how can tackle this issue.

If someone came across this issue, could you please share the solution?",2023-01-13T15:35:01Z
@MohamedFahmy-ci1sm,"can anyone here help me? I have this error while initiating Zookeeper : [2023-01-11 12:44:26,415] INFO ZooKeeper audit is disabled. (org.apache.zookeeper.audit.ZKAuditProvider)
[2023-01-11 12:44:26,421] ERROR Exiting JVM with code 1 (org.apache.zookeeper.util.ServiceUtils)",2023-01-11T12:45:06Z
@balasubrahmanyaravikanth793,Ran into address already in use error when restarting zoo keeper at 24:29. Could be that zookeeper port 2181 is occupied. Rebooting the instance has fixed the problem. FYI,2023-01-09T21:41:33Z
@gustavobrites4048,Great video with amazing content and clear explanations! Thank you Darshil!,2023-01-09T12:25:24Z
@kuldeepchinwan2852,"Great Work Darshil,
I have completed the Entire project and Excited to learn more.",2023-01-08T07:00:27Z
@shreekarjayaram3585,"Awesome tutorial bro. I completed this project and I'm willing to learn more. 
Thanks Darshil :)",2023-01-06T20:24:19Z
@kapilganweer9991,"I took this tutorial to learn how Kafka works. It really helped me to understand how it works and various components of it. I do work on Athena, Glue crawlers, S3 on my day to day job. Now I understand how to integrate these components with Kafka.
I completed this and I am willing to learn more. 
Great work Darshil!",2023-01-06T11:44:36Z
@rahulmittal116,"Thanks a lot Darshil for such a wonderful project.

I just finished it after getting so many errors at every step. It took around more than 5-6 hours to finish.

I got errors at below steps :
1. Setting up Ec2  - Resolved
2. kafka Topic creation - Resolved
3. Consumer not running - Resolved
4. IAM role issue for Glue
5. Finally, issue in quering Athena as I didn't check my intital data file previously


But , now I am able to succesfully load real time data and able to see it succesfully using AWS Athena -

Real Time data -> Python ->DataFrame -> Kafka Producer-> Kafka Consumer -> S3 ->Crawler ->Athena


Thanks a lot once again !",2023-01-05T21:13:35Z
@manojkumarcr9417,Amazing video 👏,2023-01-03T14:33:08Z
@bunny-y,I just finished doing this project.please make more end-to-end project videos @darshil parmar,2023-01-03T10:04:34Z
@factorise001,loved the way it is executed..!!!,2023-01-02T06:06:13Z
@sarveshkhire415,"This is a very good project and it helped me to start learning Kafka.
However, I have a basic question, if we shutdown the notebook, won't our system stop processing, as in there won't be any producer or a consumer? Then how do we work this out in production. 
Please correct if I have missed anything",2023-01-01T20:11:37Z
@kareemrasheedbabatunde9026,"Great work mehn, fantastic work",2023-01-01T17:56:04Z
@vikasv7501,Done with project. Faced errors but solved it myself .Thanks for the project,2022-12-31T13:08:21Z
@VikramSingh-fl4qe,"Hi @Darshil Parmar can you please suggest me, I work in a medium scale startup as a Data Analyst, and they work mostly on flat files like Google sheet, and Excel, but they have a lot of Data for their Website trafic orders fram diffrent channels, 
Can you please suggest a cheapest Wearhouse service we should opt",2022-12-29T15:13:40Z
@ahmedtariqsilat,"I completed the entire project.
Faced alot of errors but was able to solve it.
Used AWS services for the first time along with Kafka.
I would also like to learn how to setup kafka and spark cluster on our local machine in linux and also how to create object storage cluster on local machine",2022-12-29T13:38:35Z
@ritujsrivastava2037,Thank you for this video. Going to try it right now and will let you know how it went 👍,2022-12-29T10:47:21Z
@shashibhushansingh1628,"superb content 
😊 thanks darshil",2022-12-29T09:44:10Z
@abhirupdas808,"Hey darshil it was a great video 👍
Altough i have a question that what will happen if while the crawler will run on all the files in the specific folder, there is a file present that have some different schema?
Or maybe a file having different schema will get added in future....how aws will deal with it?or do we need to pre process the file on our end?",2022-12-29T06:09:24Z
@andrescanas6675,"Hi Darshil, this is amazing! Thanks so much for the great content.

I'm curious how we can run something like this completely hands off. For instance, how can I have the kafka server and zookeeper running not on local machine. As well as producer and consumer code.",2022-12-29T00:12:02Z
@mackshonayi943,"Thanks, Darshil. I have completed this project. I faced challenges with kafka in AWS so I ran kafka in my PC and completed the project. I learned a lot from your project thank you. God bless",2022-12-28T22:50:48Z
@saifali1389,I have completed the project and want to learn more.,2022-12-28T11:19:11Z
@percyjackson1662,How to add profile in s3fs ? Any body faced this issue ?,2022-12-26T18:04:14Z
@echocao8194,"I finished the project. Thanks Darshil, great work!",2022-12-23T20:59:18Z
@prabhasaha6030,Thank You so much,2022-12-21T13:06:37Z
@prabhasaha6030,"Done with this project, What is next",2022-12-21T13:06:06Z
@shyanroychoudhury1321,Completed this entire project. Faced lot of errors. Made few changes on my own. Excited to learn more!,2022-12-21T08:22:39Z
@jainhardik,"Hi Darshil,
it a very interesting project.
i have followed every step but i reached upto 24:38 i got an error that
 ""Native memory allocation (mmap) failed to map 1073741824 bytes for committing reserved memory.""
Can you please help",2022-12-18T14:59:17Z
@aaravkumarsingh4018,U can chekout  this channel for sql interview question and data engineering things https://youtube.com/playlist?list=PLkQcti0Ydt9gTjJ24M3otaUUJLWogeeI2,2022-12-16T19:55:15Z
@ogissgi7441,"I completed the project, after facing many errors, but did it finally! Darshil, thanks again for your tutorials, cant wait to see more!",2022-12-16T11:59:54Z
@codeml5514,Appreciated. well Done..Keep going.,2022-12-16T03:30:35Z
@salman3-029,"I completed the project. I was using Jupeyter Lab Docker Image, and hence could not install AWS CLI because of lack of rights. So I uploaded the files to S3 using boto3 library instead of s3fs. Everything else was smooth. Thanks a lot Darshil :)",2022-12-14T14:45:32Z
@alwayssporty8102,"I am facing issue like ""unable to locate credentials"" while I'm trying to write on S3 on consumer code.",2022-12-14T13:39:28Z
@make__fun__with__engineering,Hii @DarshilParmar I'm new to kafka so I'm getting an time out error at the time of creating the topics. I try to solve but not able to do that. Can you please help me out on this?,2022-12-13T12:15:19Z
@ogissgi7441,"Hi Darshil, firstly ,thank you so much for the tutorial.
However when i am following it, and opening second terminal to run kafka server i always getting error ""disconnecting from node 0 due to socket connection setup timeout"""" Client requested connection close from node 0"" .Tried to google it, but do not find the correct answer how to resolve it. Maybe you could advice what could be the problem?",2022-12-12T19:57:52Z
@hsk7715,Can I used MySQL as data warehouse,2022-12-12T18:09:57Z
@thedatacenter45,if u want to practise sql interview question then plz checkout my chann_el also,2022-12-12T07:50:05Z
@edithmonteshtech5180,"Great video Darshil, thanks for sharing your knowledge!...I'd like to see a video talking about crawlers in deep, particularly adding automatically partitions to scan just the necessary in athena. Also, I've had bad experiences using crawlers because they create hundreds of tables even though is the same path with files with the same structure...do you have any experience about it?",2022-12-11T19:53:21Z
@AdityaRajput090,"Darshil sir, plz create separate full course on kafka, I'm really grateful to you, when you start kafka course?",2022-12-11T04:05:18Z
@ansh912,These project videos are really helpful Darshil!! Keep making such videos.,2022-12-09T12:04:32Z
@herdata_eo4492,anyone get timeOutException while trying to create topics? i've checked the public ip address,2022-12-09T02:05:44Z
@tamizhselvank6017,im completed this project and waiting for the next one . Thanks for the effort bro.,2022-12-08T14:41:02Z
@alwayssporty8102,"When I changed  server properties from private to public for zookeeper after that it is exiting with error ""Exiting JVM with code 1""
Pls help.",2022-12-08T09:34:30Z
@alwayssporty8102,"Hi Darshil great work,is this the kind of project you do in freelancing or this is only for tutorial or for learning only?",2022-12-07T11:59:28Z
@lokeswarnaidu2398,superb content keep rocking and it was very helpful . Thanks for your efforts .,2022-12-07T05:52:01Z
@anupammathur918,Ye kidhr se laya ye zookeeper baar baar bnd ho jata hai mai dhundne lg jata hu fir kidhr glti kr diya,2022-12-06T13:06:24Z
@kirankv1956,"Hey Bro
Just now completed the project",2022-12-06T11:02:18Z
@tejaswilog3946,I'm in first year please guide me about the skills that I need to acquire for starting freelancing till the 4th semester 🙏🙏,2022-12-06T08:24:43Z
@BotOrwhatt,Getting Error at creating Topic Error - timed out waiting for a Node assignment.calp createtopics ec2 @Darshil Parmar,2022-12-06T06:45:09Z
@amitjaiswal781,Thank you for your all videos you are my inspiration Darshil I follow your tips and guidance.Thank you for creating such amazing content for free for the students like us.keep it up we are always with you for your support.,2022-12-06T04:54:45Z
@amitjaiswal781,Thank you for this project.Please make more videos on projects.,2022-12-06T04:52:11Z
@tzaman2008,Fantastic project ! Great teacher appreciate your hard work ....Would definitely like to learn more !!,2022-12-05T23:11:09Z
@digitaltechconnect1318,"Hi @Darshil, What are the material is suitable for Azure,AWS and GCP data engineer materials? We have not seen more material from the youtube platform. How do we start ? please share the guidance",2022-12-05T19:16:47Z
@digitaltechconnect1318,"Hi @Darshil, What are the material is suitable for Azure,AWS and GCP data engineer materials? We have not seen more material from the youtube platform. How do we start ? please share the guidance",2022-12-05T19:16:27Z
@duytrkhanh,dose anyone get aws billing 😢,2022-12-05T16:35:58Z
@sabariabivarma,You are awesone man... In few hrs I can complete this project. Thanks a lot. keep going !!! I will check for some more projects with this base idea and will practice. Thanks a lot,2022-12-05T16:04:25Z
@sahilgupta6205,"Hi Darshil 
I was eagerly waiting for this video after seeing your linkedin post. This is really good. I can see lot of hardwork that has been done for this video. This channel is pure gem for Data engineers community !!",2022-12-05T15:56:29Z
@jatinyadav8960,"Best kafka project video on youtube thank you darsil ,plse can you share some important resources for CDC with kafka",2022-12-05T15:16:19Z
@negidheerendra1,Mind blowing content.. suggesting you to launch a course for data engineering..,2022-12-05T14:53:37Z
@anupammathur918,"I am getting error in rhe ssh part , i am using windows even i tried disabling the inheritance but still if anyone found same error and rectified let me know",2022-12-05T14:48:52Z
@namithjain305,"Hi, thank you for sharing your knowledge.
How can we use Aws Kinesis in this project?",2022-12-05T14:01:15Z
@user-wu1lm2cj5f,This project is as strong as your jawline!,2022-12-05T10:21:18Z
@swagataroy6877,You are the best darshil.pls bring your SQL and python course.eagerly waiting for your video,2022-12-05T09:41:49Z
@offisongemmanuel6932,Lovely tutorial. I completed this and i'm willing to learn more. Great work Darshil!,2022-12-04T20:59:04Z
@swainsub9736,Please make more projects for data engineer role,2022-12-04T19:48:11Z
@marchanselthomas,Thanks,2022-12-04T19:22:34Z
@balajivenkatraman2991,"This is not real time as soon as it hit the S3 bucket, it is near real time. If you have to do in real time , then it should be Kafka streams , Redis.. do it in memory",2022-12-04T17:55:42Z
@Bnilesh,No words bhai👏👏👏👏,2022-12-04T17:41:22Z
@yogeshsangwan8343,Great work... thanks...this will help a lot...,2022-12-04T17:14:20Z
@danala5963,The command used to install Kafka and zookeeper on Mac .. will the same command work with windows CLI,2022-12-04T16:54:50Z
@nevinnevin8278,"bro am a fresher currently am learning from your roadmap vedio and i will start to do these projects bro keep going .
this session will be a great help for an absolte beginners like me .god bless you 🥰",2022-12-04T15:48:08Z
@faizahmed8015,"One thing you know bro! whenever people search for data engineering end to end project on YouTube, Shows your video at the top of the search engine...
Great 👍🏻
Keep it bro so that we can learn more...
Thank you...❤",2022-12-04T15:17:54Z
@tejasborkar5917,"I have done all the project you uploaded on youtube , it's look like this is One of the best project in all of other 🤩",2022-12-04T15:07:03Z
@Trihawk7,"Thanks, looks really good. What would you do if the streaming source changes their schema? You obviously cannot run the crawler each time to check for schema changes. I was thinking of using SNS to check for changes but I don't know how to check and compare schemas without using crawler.",2022-12-04T15:04:49Z
@ajinkyaadhotre5336,Is there any part 2 video for this project?,2022-12-04T15:00:18Z
@ajinkyaadhotre5336,Bro thank you so much !! This is what I was waiting for ❤️,2022-12-04T14:58:59Z
@5ajit,"Great video. Just a question, can we use Streamlit to display and automate this ?",2022-12-04T14:41:43Z
@navjotsingh-hl1jg,bro thank you . bro i am BA graduate i want to learn big data engineer.can i do it sir.,2022-12-04T14:40:00Z
@rajvardhan465,very thaks brother god belss you,2022-12-04T14:33:16Z
@sivahanuman4466,Great video Thanks bro,2022-12-04T13:59:53Z
@ronin-RTW,brother darshil . just now started with this . and got your notification,2022-12-04T13:56:39Z
@DarshilParmar,"Don't forge to hit the LIKE button, took me 2 weeks to make this! Thanks for watching <3",2022-12-04T13:36:10Z
